Node 	Temperature
1	8.27110523150057
2	8.41488908535161
3	8.55045386632545
4	8.27110523150057
5	8.41488908535161
6	8.67799963266748
7	8.55045386632545
8	8.67799963266748
9	8.79772644262316
10	8.79772644262316
11	8.27110523150057
12	8.90983435443788
13	8.41488908535161
14	8.55045386632545
15	8.90983435443788
16	8.67799963266748
17	9.01452342635707
18	8.79772644262316
19	9.01452342635707
20	9.11199371662616
21	8.90983435443788
22	9.11199371662616
23	9.01452342635707
24	9.20244528349057
25	9.20244528349057
26	9.11199371662616
27	9.28607818519572
28	9.28607818519572
29	9.20244528349057
30	9.36309247998704
31	9.28607818519572
32	9.36309247998704
33	9.43368822610994
34	9.36309247998704
35	9.43368822610994
36	9.49806548180984
37	9.43368822610994
38	9.49806548180984
39	9.49806548180984
40	9.55642430533218
41	9.55642430533218
42	9.55642430533218
43	9.60896475492238
44	9.60896475492238
45	9.60896475492238
46	9.65588688882584
47	9.65588688882584
48	9.65588688882584
49	9.69739076528801
50	9.69739076528801
51	9.69739076528801
52	9.73367644255429
53	9.73367644255429
54	9.73367644255429
55	9.76494397887011
56	9.76494397887011
57	9.76494397887011
58	9.79139343248090
59	9.79139343248090
60	9.79139343248090
61	9.81322486163208
62	9.81322486163208
63	9.81322486163208
64	9.83063832456907
65	9.83063832456907
66	9.83063832456907
67	9.84383387953728
68	9.84383387953728
69	9.84383387953728
70	9.85301158478215
71	9.85301158478215
72	9.85301158478215
73	9.85837149854910
74	9.85837149854910
75	9.85837149854910
76	9.86011367908354
77	9.86011367908354
78	9.86011367908354
79	9.84988511313715
80	9.84988511313715
81	9.84988511313715
82	9.82020258202882
83	9.82020258202882
84	9.82020258202882
85	9.77257083585481
86	9.77257083585481
87	9.77257083585481
88	9.70849462471141
89	9.70849462471141
90	9.70849462471141
91	9.62947869869487
92	9.62947869869487
93	9.62947869869487
94	9.53702780790146
95	9.53702780790146
96	9.53702780790146
97	9.43264670242746
98	9.43264670242746
99	9.43264670242746
100	9.31784013236913
101	9.31784013236913
102	9.31784013236913
103	9.19411284782274
104	9.19411284782274
