deltaTime	endTimeStep
3600		43800
91	-5.60709022662333
92	-5.61070264724861
93	-5.61431774667839
94	-5.61793543091275
95	-5.62155560569344
96	-5.62517817650651
97	-5.62880304858492
98	-5.63243012691117
99	-5.63605931622003
100	-5.63969052100118
101	-5.64332364550189
102	-5.64695859372975
103	-5.65059526945537
104	-5.65423357621510
105	-5.65787341731373
106	-5.66151469582727
107	-5.66515731460568
108	-5.66880117627561
109	-5.67244618324321
110	-5.67609223769682
111	-5.67973924160979
112	-5.68338709674324
113	-5.68703570464886
114	-5.69068496667167
115	-5.69433478395290
116	-5.69798505743281
117	-5.70163568785352
118	-5.70528657576192
119	-5.70893762151259
120	-5.71258872527063
121	-5.71623978701466
122	-5.71989070653964
123	-5.72354138345990
124	-5.72719171721199
125	-5.73084160705768
126	-5.73449095208691
127	-5.73813965122078
128	-5.74178760321452
129	-5.74543470666045
130	-5.74908085999101
131	-5.75272596148169
132	-5.75636990925407
133	-5.76001260127887
134	-5.76365393537896
135	-5.76729380923246
136	-5.77093212037576
137	-5.77456876620660
138	-5.77820364398715
139	-5.78183665084712
140	-5.78546768378682
141	-5.78909663968026
142	-5.79272341527831
143	-5.79634790721181
144	-5.79997001199471
145	-5.80358962602721
146	-5.80720664559893
147	-5.81082096689207
148	-5.81443248598457
149	-5.81804109885332
150	-5.82164670137735
151	-5.82524918934101
152	-5.82884845843726
153	-5.83244440427078
154	-5.83603692236130
155	-5.83962590814676
156	-5.84321125698653
157	-5.84679286416465
158	-5.85037062489300
159	-5.85394443431453
160	-5.85751418750644
161	-5.86107977948342
162	-5.86464110520084
163	-5.86819805955805
164	-5.87175053740163
165	-5.87529843352861
166	-5.87884164268979
167	-5.88238005959300
168	-5.88591357890636
169	-5.88944209526161
170	-5.89296550325733
171	-5.89648369746229
172	-5.89999657241869
173	-5.90350402264549
174	-5.90700594264173
175	-5.91050222688980
176	-5.91399276985881
177	-5.91747746600792
178	-5.92095620978969
179	-5.92442889565344
180	-5.92789541804858
181	-5.93135567142798
182	-5.93480955025127
183	-5.93825694898824
184	-5.94169776212221
185	-5.94513188415334
186	-5.94855920960197
187	-5.95197963301194
188	-5.95539304895384
189	-5.95879935202837
190	-5.96219843686963
191	-5.96559019814835
192	-5.96897453057522
193	-5.97235132890415
194	-5.97572048793561
195	-5.97908190251986
196	-5.98243546756032
197	-5.98578107801683
198	-5.98911862890899
199	-5.99244801531948
200	-5.99576913239733
201	-5.99908187536120
202	-6.00238613950264
203	-6.00568182018933
204	-6.00896881286837
205	-6.01224701306953
206	-6.01551631640848
207	-6.01877661859003
208	-6.02202781541141
209	-6.02526980276553
210	-6.02850247664425
211	-6.03172573314160
212	-6.03493946845696
213	-6.03814357889832
214	-6.04133796088543
215	-6.04452251095299
216	-6.04769712575388
217	-6.05086170206233
218	-6.05401613677714
219	-6.05716032692486
220	-6.06029416966300
221	-6.06341756228320
